5.101995,4.280739,1.540463,4.90268,4.126943,1.507072,5.058639,1.626245,1.779945,5.05412,4.218363,1.778854,4.985773,4.264141,1.576995,5.111489,4.275484,1.547426,1
5.130927,4.292606,1.540662,4.900638,4.12719,1.506755,5.060397,1.627129,1.77971,5.054787,4.217882,1.77883,4.984723,4.269756,1.580582,5.109448,4.275723,1.54711,1
5.131114,4.293004,1.540724,4.899927,4.128159,1.506827,5.061216,1.627604,1.779557,5.056018,4.217782,1.778832,4.980849,4.270241,1.581799,5.108741,4.276686,1.547182,1
5.139628,4.29749,1.540811,4.909856,4.130875,1.506886,5.061897,1.627755,1.779391,5.056538,4.217626,1.778805,5.010563,4.276821,1.576694,5.118673,4.279394,1.547242,1
5.144572,4.29951,1.5407,4.907225,4.131172,1.506689,5.063947,1.628484,1.779235,5.057508,4.217412,1.778809,5.02136,4.281609,1.577097,5.116045,4.279687,1.547046,1
5.147371,4.299138,1.540527,4.907232,4.13167,1.506594,5.064484,1.628824,1.77918,5.059043,4.217564,1.778642,5.024813,4.281246,1.57645,5.116053,4.280183,1.546951,1
5.150423,4.298694,1.540578,4.899255,4.130073,1.506526,5.066538,1.629343,1.778921,5.060437,4.217286,1.778474,5.024171,4.279644,1.575435,5.108077,4.27858,1.546884,1
5.151921,4.297549,1.540372,4.897632,4.129683,1.506319,5.0678,1.629595,1.77874,5.062372,4.217361,1.778358,5.020825,4.277698,1.574755,5.106456,4.278189,1.546678,1
5.155078,4.297871,1.540213,4.894088,4.127448,1.505887,5.068745,1.629807,1.778516,5.062473,4.21735,1.778337,5.038371,4.280056,1.571366,5.102913,4.275951,1.546246,1
5.159492,4.297454,1.539868,4.896959,4.127015,1.50536,5.069522,1.63056,1.778488,5.063442,4.218643,1.778152,5.038411,4.280677,1.57086,5.105784,4.275517,1.545719,1
5.171051,4.297565,1.539429,4.888195,4.124052,1.504853,5.071266,1.631221,1.778284,5.065544,4.221722,1.777662,5.040973,4.283354,1.570386,5.097023,4.272551,1.545213,1
5.17276,4.29817,1.539378,4.893166,4.127115,1.504976,5.071796,1.631903,1.778119,5.066057,4.221742,1.777657,5.0411,4.283473,1.570386,5.101995,4.275612,1.545337,1
5.174414,4.298086,1.539333,4.893706,4.126854,1.505052,5.072131,1.632226,1.777879,5.067368,4.221024,1.777625,5.036621,4.278602,1.570959,5.102536,4.275352,1.545413,1
5.176862,4.299542,1.539372,4.897374,4.126503,1.505418,5.072821,1.632885,1.777662,5.067633,4.221848,1.777517,5.029188,4.276289,1.572292,5.106205,4.275,1.545779,1
5.180322,4.299057,1.539103,4.898448,4.128129,1.504631,5.073408,1.633177,1.777436,5.068639,4.221971,1.777459,5.014526,4.276326,1.569959,5.107279,4.276624,1.544992,1
5.180285,4.299022,1.539114,4.900686,4.128004,1.504456,5.074074,1.63377,1.777175,5.068023,4.226067,1.777078,5.014155,4.278602,1.567807,5.109517,4.276499,1.544818,1
5.180988,4.299605,1.539084,4.904451,4.131408,1.504189,5.07507,1.634318,1.776882,5.068279,4.226813,1.777001,5.019173,4.278772,1.567048,5.113283,4.279902,1.544551,1
5.181448,4.300144,1.539119,4.981732,4.16434,1.510762,5.075166,1.634569,1.776834,5.068438,4.227034,1.776961,5.020877,4.278705,1.566812,5.190565,4.312832,1.551124,1
5.181027,4.300679,1.539127,5.160369,4.300959,1.534783,5.075531,1.634935,1.776696,5.068174,4.227038,1.776953,5.019879,4.27632,1.565265,5.239838,4.314045,1.55604,1
5.170451,4.300875,1.539579,5.185025,4.312921,1.535711,5.075798,1.635088,1.776675,5.067905,4.226811,1.776951,5.020008,4.276953,1.563868,5.231158,4.314204,1.554218,1
5.171458,4.301661,1.539805,5.19963,4.317716,1.536445,5.075613,1.635973,1.776674,5.064793,4.231983,1.776499,5.029388,4.282565,1.566163,5.290981,4.315997,1.563434,1
5.161523,4.300369,1.540019,5.202762,4.31951,1.53659,5.075299,1.63686,1.776462,5.06471,4.23225,1.776477,5.005852,4.279063,1.571334,5.296353,4.318108,1.564435,1
5.139848,4.287093,1.539068,5.211608,4.32672,1.537074,5.07463,1.637389,1.776175,5.065035,4.231987,1.77647,5.001776,4.27446,1.570665,5.33633,4.324685,1.569139,1
5.145298,4.288631,1.539064,5.209761,4.330608,1.537483,5.074274,1.637357,1.775873,5.065426,4.232023,1.776449,5.010346,4.276347,1.570502,5.332652,4.324353,1.568853,1
5.147374,4.28921,1.538876,5.211586,4.331968,1.537426,5.072303,1.638547,1.775168,5.064895,4.23213,1.776445,5.01833,4.278922,1.568699,5.331713,4.324848,1.568713,1
5.143077,4.290857,1.538971,5.212713,4.333038,1.537373,5.070291,1.639353,1.774596,5.064213,4.232505,1.776382,5.002369,4.278496,1.571455,5.329913,4.324967,1.568733,1
5.136092,4.293712,1.538717,5.235762,4.349665,1.53967,5.067582,1.641715,1.773711,5.061872,4.233759,1.776178,5.019111,4.282651,1.567704,5.343794,4.327258,1.570799,1
5.135083,4.294317,1.538674,5.235981,4.351561,1.539456,5.061414,1.643171,1.772701,5.061261,4.234682,1.775961,4.966995,4.277116,1.578338,5.298596,4.336772,1.562814,1
5.131877,4.296307,1.53865,5.233859,4.351231,1.539052,5.053109,1.644296,1.771667,5.06014,4.234862,1.775833,4.953776,4.28424,1.573709,5.302655,4.332812,1.563528,1
5.129389,4.297771,1.538497,5.233158,4.351625,1.538987,5.045948,1.644906,1.771084,5.057609,4.236164,1.775545,4.957741,4.285602,1.572977,5.30263,4.331106,1.563811,1
5.120697,4.299195,1.538098,5.233967,4.352254,1.538935,5.036621,1.646726,1.770257,5.05472,4.236787,1.775296,4.949618,4.287601,1.57118,5.306729,4.330363,1.564474,1
5.119946,4.301163,1.537988,5.233966,4.352486,1.538924,5.023215,1.650253,1.768727,5.051818,4.237337,1.77489,4.942727,4.289355,1.570678,5.30672,4.330808,1.565262,1
5.043128,4.282294,1.538248,5.233922,4.353182,1.538757,4.999615,1.653543,1.765859,5.040847,4.240527,1.773656,4.948712,4.296221,1.566191,5.26089,4.328786,1.555664,1
5.02648,4.281172,1.537831,5.234625,4.353368,1.538672,4.980522,1.659476,1.76285,5.03498,4.241818,1.772918,4.919629,4.291237,1.571586,5.269848,4.330604,1.556939,1
5.024623,4.285524,1.537408,5.234477,4.35337,1.538572,4.970041,1.660038,1.761431,5.028831,4.242938,1.77212,4.905817,4.292054,1.571407,5.260448,4.334693,1.55382,1
4.926109,4.306371,1.537762,5.232027,4.354971,1.537992,4.951492,1.664804,1.758696,5.014735,4.243796,1.770694,4.889601,4.293308,1.569284,5.233184,4.336616,1.549136,1
5.243251,4.345447,1.500423,5.228973,4.356385,1.537141,4.939383,1.667687,1.756849,5.006931,4.242479,1.769947,4.88878,4.295826,1.56724,5.212767,4.331679,1.546759,1
4.921539,4.292894,1.534845,5.226859,4.357284,1.53636,4.930182,1.670436,1.755307,5.00105,4.242115,1.769145,4.886952,4.297632,1.566125,5.212868,4.333004,1.546578,1
4.924269,4.292872,1.534292,5.219985,4.35465,1.534769,4.918197,1.673748,1.753734,4.994487,4.241927,1.768182,4.887484,4.301105,1.563721,5.213202,4.335454,1.545722,1
4.908273,4.307802,1.534396,5.217813,4.354721,1.534144,4.907627,1.676144,1.7521,4.991108,4.246933,1.766862,4.883787,4.303019,1.562181,5.20544,4.339461,1.544596,1
4.905306,4.308854,1.53218,5.215517,4.358698,1.533349,4.889188,1.680802,1.749237,4.980328,4.248738,1.765191,4.884253,4.305456,1.559973,5.195678,4.342174,1.542678,1
4.900373,4.314654,1.532006,5.212985,4.360328,1.53285,4.884282,1.68368,1.748383,4.972571,4.251198,1.763997,4.88216,4.306127,1.559754,5.195107,4.343143,1.542306,1
4.902777,4.314088,1.531569,5.212608,4.361303,1.532597,4.87721,1.68568,1.747495,4.967175,4.24973,1.763193,4.882219,4.30661,1.559365,5.191018,4.345042,1.541052,1
4.903045,4.313279,1.531034,5.210488,4.362098,1.531852,4.87215,1.688417,1.74599,4.962677,4.247944,1.76247,4.882154,4.303389,1.557878,5.191063,4.355712,1.540871,1
4.901961,4.311991,1.52998,5.194164,4.365531,1.529192,4.867836,1.689189,1.744542,4.958933,4.248673,1.761215,4.885132,4.30324,1.556708,5.188096,4.36288,1.540691,1
4.900648,4.314275,1.528811,4.982434,4.27091,1.49326,4.862772,1.690325,1.742871,4.953465,4.249397,1.760135,4.879525,4.301814,1.554328,5.185432,4.369,1.540383,1
5.2427,4.340021,1.486989,4.961945,4.283668,1.496459,4.856993,1.692232,1.740797,4.952804,4.250299,1.759152,4.879231,4.299836,1.551909,5.186633,4.373311,1.540195,1
5.243131,4.337296,1.485799,4.963703,4.27005,1.496527,4.85015,1.69238,1.739582,4.948946,4.250307,1.758117,4.87916,4.297759,1.550604,5.184112,4.377259,1.539544,1
5.23739,4.338653,1.48247,5.049588,4.306846,1.514919,4.843851,1.690964,1.738895,4.947265,4.252066,1.756954,4.874978,4.298637,1.547594,5.184768,4.377077,1.539834,1
5.233018,4.340888,1.480143,5.043774,4.296445,1.512611,4.837778,1.689254,1.737704,4.942741,4.252705,1.755821,4.871701,4.300638,1.545485,5.190265,4.389421,1.539615,1
5.223414,4.345276,1.476981,5.038765,4.292966,1.510692,4.828113,1.689908,1.73578,4.938775,4.253773,1.754449,4.864322,4.304432,1.542779,5.128997,4.382787,1.531402,1
5.222834,4.3471,1.47622,5.062733,4.346756,1.511766,4.822318,1.690622,1.734921,4.933435,4.255312,1.753292,4.863655,4.306204,1.541978,5.326666,4.494888,1.543838,1
5.2166,4.351111,1.474319,5.063669,4.346165,1.511085,4.81282,1.691525,1.733639,4.929265,4.255574,1.752295,4.858816,4.30938,1.540342,5.231795,4.389273,1.537295,1
5.20999,4.354348,1.473422,5.024198,4.324346,1.505387,4.802165,1.694636,1.731395,4.923866,4.26,1.750742,4.853384,4.312614,1.539681,5.270961,4.448693,1.539964,1
5.200935,4.357814,1.471668,5.118349,4.371759,1.517307,4.795074,1.698005,1.72952,4.919652,4.262608,1.749712,4.845987,4.315509,1.538249,5.368165,4.539644,1.551287,1
5.188091,4.359453,1.469465,5.061288,4.350501,1.511932,4.77927,1.704148,1.726842,4.915384,4.264425,1.748898,4.835299,4.317202,1.536485,5.414207,4.469185,1.56361,1
5.186182,4.358973,1.470101,4.881357,4.21777,1.496439,4.769268,1.709468,1.724839,4.90957,4.265998,1.748065,4.83274,4.317256,1.53698,5.091668,4.417702,1.526114,1
5.184744,4.359959,1.469208,4.881142,4.223588,1.497008,4.75889,1.714303,1.722425,4.904818,4.266317,1.747436,4.830901,4.31897,1.536004,5.097357,4.416484,1.526837,1
5.182293,4.360077,1.468262,4.950035,4.27487,1.50329,4.749323,1.717659,1.721004,4.899737,4.267355,1.746792,4.828408,4.319922,1.535052,4.960085,4.349287,1.517189,1
5.184174,4.359377,1.467603,4.958372,4.288645,1.503677,4.739006,1.719077,1.72019,4.894074,4.268236,1.746168,4.828989,4.320399,1.534128,5.054176,4.408278,1.523031,1
5.190975,4.357723,1.46871,4.99725,4.292298,1.50357,4.732574,1.721736,1.719416,4.890404,4.268592,1.745751,4.833188,4.320279,1.534694,4.996987,4.365881,1.518674,1
5.190197,4.357371,1.467965,5.075667,4.326413,1.505662,4.727539,1.724098,1.718934,4.887976,4.26965,1.745361,4.831631,4.320378,1.533777,4.978905,4.359191,1.517605,1
5.187198,4.361303,1.466846,5.072886,4.329209,1.505885,4.726265,1.724625,1.718474,4.886262,4.269822,1.745154,4.828933,4.323329,1.532689,5.018591,4.365499,1.518088,1
5.189717,4.359616,1.466404,5.072121,4.328741,1.505568,4.723275,1.724508,1.718309,4.884675,4.269655,1.745009,4.830521,4.322196,1.532045,5.028833,4.369256,1.518621,1
5.191787,4.36117,1.465609,5.072432,4.328497,1.505508,4.722412,1.724452,1.718216,4.884015,4.269854,1.744936,4.832085,4.323358,1.531118,5.014675,4.356476,1.516629,1
5.21439,4.362034,1.470157,4.756473,4.363106,1.455414,4.722873,1.724539,1.718031,4.883665,4.270046,1.744891,4.848848,4.323749,1.534331,5.04273,4.318464,1.512997,1
5.223275,4.360058,1.470057,4.863491,4.382694,1.461832,4.730246,1.723251,1.718159,4.882019,4.268966,1.744673,4.855933,4.322333,1.533801,5.125029,4.340386,1.517821,1
5.22556,4.363362,1.470004,4.874398,4.40255,1.464712,4.742841,1.722183,1.718199,4.886592,4.268577,1.744659,4.857921,4.324667,1.533642,5.136656,4.35902,1.520467,1
5.236028,4.363841,1.471211,4.900704,4.420684,1.45687,4.758926,1.718922,1.718297,4.892468,4.266312,1.744737,4.866776,4.323954,1.534425,5.185883,4.342004,1.522171,1
5.241546,4.367619,1.470078,4.889577,4.400615,1.452669,4.781796,1.716261,1.719015,4.90393,4.263599,1.744917,4.872973,4.325445,1.533371,5.177437,4.328034,1.518851,1
5.279323,4.355201,1.477946,4.889619,4.397992,1.452462,4.816586,1.712356,1.720428,4.918511,4.262637,1.744981,4.902427,4.313673,1.539245,5.178501,4.328756,1.518376,1
5.289511,4.358406,1.476023,4.891308,4.393458,1.453153,4.857494,1.709789,1.721112,4.9387,4.259012,1.74541,4.91403,4.314608,1.537587,5.179287,4.325715,1.517558,1
5.313095,4.363077,1.472059,4.890198,4.39254,1.452882,4.897807,1.706503,1.721959,4.957185,4.255847,1.74589,4.940049,4.317639,1.534147,5.181623,4.325798,1.517336,1
5.341379,4.346172,1.469345,4.884443,4.396708,1.451325,4.93009,1.705616,1.723241,4.98616,4.254147,1.746208,4.97067,4.303382,1.532048,5.185653,4.328101,1.517029,1
5.356264,4.353377,1.469842,5.030167,4.454029,1.464256,4.971934,1.702371,1.725624,5.008446,4.256463,1.746505,4.985957,4.306887,1.532517,5.297591,4.372688,1.526553,1
5.413287,4.371136,1.468585,5.160525,4.440076,1.480977,5.034294,1.694498,1.731599,5.06527,4.253667,1.748337,5.045933,4.317473,1.531691,5.403221,4.364249,1.53802,1
5.422016,4.376103,1.467686,5.156325,4.438608,1.481384,5.062924,1.687858,1.732918,5.095643,4.250215,1.749391,5.058001,4.318215,1.531398,5.409114,4.364986,1.538229,1
5.458505,4.369183,1.472258,5.381977,4.627682,1.48896,5.123384,1.679979,1.737488,5.118265,4.247557,1.749909,5.09225,4.313631,1.535524,5.584139,4.507616,1.543494,1
5.53277,4.375544,1.483325,5.005334,4.364392,1.455848,5.183219,1.674162,1.741306,5.172107,4.257908,1.751057,5.15968,4.31779,1.544864,5.316474,4.323172,1.516788,1
5.544061,4.379072,1.479843,4.930821,4.389681,1.46112,5.211037,1.672986,1.742141,5.194562,4.252114,1.751812,5.177319,4.319079,1.542793,5.269443,4.336537,1.521503,1
5.56569,4.380507,1.476808,5.053284,4.445126,1.484073,5.240545,1.672168,1.744189,5.220244,4.252679,1.752275,5.203407,4.320005,1.54075,5.364861,4.376177,1.538782,1
5.592607,4.374176,1.480316,5.047755,4.434227,1.479334,5.27138,1.673417,1.74606,5.240984,4.252517,1.752775,5.227404,4.315367,1.54364,5.368204,4.368103,1.535829,1
5.613274,4.365077,1.481413,5.032736,4.411343,1.47809,5.29688,1.674821,1.746093,5.270044,4.252344,1.753436,5.248289,4.309897,1.544904,5.360485,4.352334,1.534497,1
5.628685,4.340895,1.481475,5.026977,4.388861,1.479236,5.319413,1.675816,1.74688,5.292378,4.255258,1.753804,5.264816,4.291872,1.545411,5.362561,4.344577,1.533412,1
5.648092,4.34032,1.481151,5.024366,4.383666,1.477061,5.343946,1.673131,1.748398,5.318605,4.255265,1.754516,5.286034,4.291745,1.545498,5.368305,4.336467,1.532413,1
5.658298,4.343918,1.481135,5.588837,4.352561,1.521288,5.37848,1.671807,1.749981,5.352376,4.253749,1.755123,5.298428,4.293796,1.54591,5.370041,4.329267,1.532513,1
5.668733,4.346674,1.480026,5.59217,4.355348,1.521794,5.396573,1.670485,1.750539,5.369356,4.257057,1.755475,5.311669,4.295782,1.545383,5.403483,4.320711,1.531883,1
5.710506,4.348407,1.470278,5.166927,4.36552,1.47648,5.419611,1.668687,1.752328,5.389983,4.258841,1.755937,5.360421,4.302499,1.537259,5.49271,4.317347,1.532233,1
5.671901,4.349904,1.47812,5.196309,4.344562,1.479511,5.443504,1.670409,1.75343,5.407693,4.2575,1.756485,5.330766,4.299713,1.546793,5.524804,4.316739,1.532485,1
5.692101,4.356531,1.479695,5.654252,4.372993,1.524224,5.451385,1.671019,1.753965,5.43351,4.262038,1.756545,5.348762,4.304506,1.547861,5.520803,4.315713,1.532372,1
5.698092,4.354968,1.481347,5.649599,4.370623,1.523929,5.467167,1.670889,1.754408,5.455688,4.262985,1.756796,5.355884,4.301823,1.549694,5.519625,4.310075,1.531772,1
5.719807,4.355343,1.479492,5.648164,4.368644,1.523597,5.4856,1.669488,1.756204,5.472135,4.263566,1.757068,5.377646,4.305435,1.547934,5.522601,4.308366,1.531091,1
5.732974,4.36018,1.47839,5.644495,4.365572,1.523246,5.495545,1.670419,1.757158,5.490744,4.264994,1.757659,5.394692,4.307361,1.547498,5.557809,4.318929,1.532622,1
5.745707,4.32304,1.479748,5.644253,4.365936,1.523148,5.51164,1.673751,1.756942,5.507119,4.269484,1.757796,5.4082,4.280927,1.549288,5.547664,4.321933,1.533417,1
5.750527,4.316243,1.480695,5.59233,4.349894,1.524539,5.521914,1.673757,1.757496,5.517307,4.270034,1.758036,5.413758,4.276117,1.55041,5.53521,4.321276,1.533425,1
5.748979,4.320573,1.481945,5.591492,4.34623,1.524517,5.559153,1.673476,1.759683,5.531899,4.269775,1.758717,5.415164,4.278854,1.552162,5.526524,4.321885,1.533889,1
5.787846,4.347365,1.489267,5.600442,4.34487,1.523706,5.571479,1.673162,1.760309,5.537751,4.26748,1.759097,5.446428,4.298337,1.557798,5.525572,4.320976,1.533866,1
5.795454,4.35508,1.49121,5.603559,4.344892,1.523414,5.581418,1.673021,1.760544,5.544865,4.264586,1.759476,5.453287,4.30245,1.55947,5.522361,4.320954,1.534027,1
5.784317,4.356319,1.491033,5.607136,4.34447,1.523134,5.59152,1.673708,1.76102,5.546696,4.261313,1.759868,5.444839,4.301031,1.55973,5.512367,4.322274,1.534629,1
5.779847,4.355807,1.48988,5.609749,4.344349,1.522887,5.596633,1.67387,1.76128,5.548029,4.259579,1.760031,5.441864,4.300331,1.558851,5.510827,4.321434,1.534692,1
5.779343,4.354886,1.488481,5.620831,4.35109,1.522833,5.601868,1.673701,1.761782,5.548676,4.259752,1.760072,5.442027,4.30091,1.557616,5.48926,4.317033,1.535676,1
5.789842,4.358591,1.487661,5.622225,4.350234,1.5228,5.605544,1.673278,1.761996,5.548597,4.259732,1.760088,5.450133,4.303673,1.556283,5.4787,4.317029,1.53631,1
5.788157,4.359192,1.484755,5.636758,4.354859,1.523032,5.60256,1.672486,1.762188,5.546264,4.259794,1.760193,5.447275,4.305799,1.553166,5.471905,4.31617,1.536541,1
5.782153,4.359827,1.484575,5.638351,4.354942,1.523219,5.599397,1.671515,1.761871,5.54107,4.259349,1.760241,5.440728,4.305072,1.552821,5.472395,4.315489,1.536759,1
5.775379,4.355421,1.485392,5.637262,4.356174,1.523229,5.597938,1.670888,1.761731,5.534261,4.260917,1.760186,5.431385,4.301637,1.553138,5.451823,4.317536,1.537395,1
5.756477,4.334454,1.485642,5.07333,4.365978,1.482662,5.586025,1.66853,1.761972,5.522168,4.260648,1.760429,5.411529,4.285124,1.553316,5.451836,4.317424,1.537374,1
5.750993,4.334707,1.485647,5.080986,4.367806,1.482598,5.576177,1.664534,1.762188,5.512479,4.259517,1.760496,5.404919,4.28464,1.553055,5.45294,4.317218,1.537317,1
5.747813,4.336103,1.484492,5.662679,4.372742,1.526466,5.569258,1.665095,1.762263,5.498685,4.25727,1.760501,5.399672,4.286297,1.551468,5.450131,4.313656,1.537053,1
5.725217,4.33954,1.487174,5.629638,4.391694,1.529763,5.502358,1.660144,1.760082,5.439739,4.255273,1.760642,5.366593,4.287667,1.55178,5.414899,4.312601,1.539073,1
5.715325,4.339108,1.487985,5.203583,4.415889,1.489435,5.491101,1.658539,1.759194,5.426197,4.254781,1.760359,5.354883,4.286324,1.552141,5.522322,4.349495,1.543609,1
5.702022,4.332826,1.486749,5.197484,4.411277,1.488036,5.475576,1.65862,1.758476,5.415787,4.252986,1.760298,5.341259,4.281052,1.550852,5.515499,4.346575,1.542566,1
5.695859,4.332408,1.487811,5.201217,4.413723,1.486415,5.454542,1.65524,1.758269,5.397632,4.245178,1.760324,5.332496,4.280087,1.551291,5.515435,4.345803,1.542377,1
5.681235,4.329814,1.48681,5.580187,4.369651,1.529555,5.426806,1.65185,1.756846,5.381319,4.24095,1.7603,5.317349,4.278059,1.550175,5.66681,4.369689,1.546654,1
5.677167,4.331209,1.48742,5.578407,4.369318,1.5297,5.415451,1.651408,1.75615,5.35891,4.236354,1.760172,5.311475,4.278286,1.550313,5.668004,4.371718,1.546698,1
5.669122,4.331784,1.486036,5.56589,4.368381,1.529424,5.400259,1.650925,1.755054,5.345595,4.236288,1.759792,5.303296,4.277812,1.548847,5.60393,4.336464,1.53957,1
5.660216,4.330703,1.484602,5.557045,4.368402,1.529685,5.379042,1.650939,1.754984,5.331184,4.234381,1.759802,5.295355,4.277697,1.547654,5.395372,4.293843,1.537461,1
5.65575,4.327247,1.485791,5.463343,4.351459,1.525151,5.366968,1.645976,1.754889,5.316351,4.231482,1.759739,5.288564,4.274374,1.54829,5.39509,4.29352,1.537201,1
5.640272,4.324265,1.487401,5.081922,4.328424,1.477432,5.334463,1.640897,1.755013,5.28897,4.220914,1.759662,5.268478,4.271195,1.548767,5.396775,4.282576,1.535202,1
5.627482,4.325115,1.488662,5.427411,4.517881,1.499184,5.315106,1.637534,1.754522,5.276108,4.215352,1.759658,5.253839,4.270873,1.549524,5.65405,4.424169,1.55146,1
5.574534,4.323258,1.487467,4.969781,4.288116,1.466891,5.301711,1.632714,1.754639,5.261698,4.209413,1.759672,5.203804,4.266074,1.54892,5.295996,4.269684,1.525241,1
5.571662,4.323002,1.486318,5.384794,4.508824,1.49487,5.283049,1.628163,1.754375,5.24824,4.204112,1.759292,5.200547,4.266391,1.547687,5.60788,4.419087,1.548016,1
5.550401,4.323583,1.482582,5.387116,4.510805,1.494927,5.269738,1.625581,1.754433,5.237522,4.206946,1.758636,5.181706,4.266219,1.544492,5.608596,4.418637,1.548166,1
5.54889,4.320209,1.482418,5.176807,4.359318,1.484659,5.263667,1.624592,1.754682,5.228605,4.213889,1.757827,5.178417,4.263435,1.543911,5.448574,4.303688,1.540366,1
5.542514,4.31981,1.481197,5.415843,4.687077,1.506881,5.253029,1.624117,1.754893,5.218766,4.213344,1.757723,5.17138,4.263877,1.542547,5.625881,4.547327,1.557761,1
5.539376,4.321738,1.480797,5.392258,4.605022,1.501185,5.244538,1.622512,1.754843,5.204736,4.210429,1.757598,5.166749,4.266042,1.541779,5.605154,4.484138,1.553493,1
5.526688,4.329572,1.48001,5.383197,4.582695,1.500618,5.232761,1.625675,1.754053,5.192342,4.207932,1.75758,5.154356,4.27317,1.541026,5.597024,4.467154,1.553248,1
5.523969,4.329613,1.480791,5.387821,4.605104,1.501069,5.209276,1.629811,1.752476,5.182137,4.209268,1.757499,5.149956,4.274237,1.54142,5.598268,4.484184,1.553753,1
5.512155,4.33134,1.47916,5.390375,4.607,1.498885,5.197189,1.628542,1.752539,5.171685,4.208639,1.757359,5.139676,4.275452,1.540134,5.593282,4.482181,1.552374,1
5.506007,4.326898,1.478892,5.403901,4.616565,1.501172,5.183586,1.629407,1.752225,5.158935,4.205964,1.757206,5.133124,4.272718,1.539816,5.601385,4.4879,1.555099,1
5.49386,4.324022,1.476936,5.34608,4.540728,1.504689,5.171063,1.629633,1.752202,5.146088,4.211163,1.756894,5.122285,4.271071,1.538207,5.557699,4.431308,1.55816,1
5.472569,4.317357,1.472824,4.839904,4.297767,1.451905,5.159938,1.630927,1.752134,5.135358,4.218029,1.756416,5.103958,4.267154,1.534885,5.176634,4.249269,1.518767,1
5.461763,4.314964,1.471216,5.34372,4.545807,1.506459,5.149525,1.631596,1.752157,5.125152,4.221774,1.756105,5.093603,4.266111,1.533412,5.553618,4.435408,1.560102,1
5.451473,4.313394,1.470709,5.343471,4.550198,1.506256,5.138012,1.632952,1.752378,5.118183,4.223805,1.755986,5.083301,4.264833,1.532897,5.552351,4.439333,1.560011,1
